name,url,is_premium,from #player,to #player,duration (mins),complexity
diams,https://boardgamearena.com/gamepanel?game=diams,False,2,5,24,2
ohseven,https://boardgamearena.com/gamepanel?game=ohseven,False,2,9,17,1
toeshambo,https://boardgamearena.com/gamepanel?game=toeshambo,False,2,2,3,1
apocalypseazcc,https://boardgamearena.com/gamepanel?game=apocalypseazcc,False,2,4,7,3
gaia,https://boardgamearena.com/gamepanel?game=gaia,False,2,5,18,2
niagara,https://boardgamearena.com/gamepanel?game=niagara,False,3,5,28,2
koryo,https://boardgamearena.com/gamepanel?game=koryo,False,2,4,6,3
ledernierpeuple,https://boardgamearena.com/gamepanel?game=ledernierpeuple,False,3,5,24,3
logger,https://boardgamearena.com/gamepanel?game=logger,False,2,4,8,1
restinpeace,https://boardgamearena.com/gamepanel?game=restinpeace,True,2,2,13,2
takaraisland,https://boardgamearena.com/gamepanel?game=takaraisland,False,2,4,33,2
penaltychallenge,https://boardgamearena.com/gamepanel?game=penaltychallenge,False,2,4,8,1
hacktrick,https://boardgamearena.com/gamepanel?game=hacktrick,False,2,2,27,3
veggiegarden,https://boardgamearena.com/gamepanel?game=veggiegarden,False,2,4,10,2
noirkvi,https://boardgamearena.com/gamepanel?game=noirkvi,False,2,2,5,2
nautilus,https://boardgamearena.com/gamepanel?game=nautilus,False,2,2,19,2
tiki,https://boardgamearena.com/gamepanel?game=tiki,False,2,2,11,3
consonar,https://boardgamearena.com/gamepanel?game=consonar,True,2,6,11,2
