name,url,from #player,to #player,duration (mins),complexity
guile,https://boardgamearena.com/gamepanel?game=guile,2,2,11,1
simplicity,https://boardgamearena.com/gamepanel?game=simplicity,2,6,13,3
senshi,https://boardgamearena.com/gamepanel?game=senshi,2,4,13,3
forex,https://boardgamearena.com/gamepanel?game=forex,2,6,53,4
dicedtomatoes,https://boardgamearena.com/gamepanel?game=dicedtomatoes,1,6,19,2
canosa,https://boardgamearena.com/gamepanel?game=canosa,2,2,14,1
linkage,https://boardgamearena.com/gamepanel?game=linkage,2,2,6,1
bang,https://boardgamearena.com/gamepanel?game=bang,2,7,17,3
liverpoolrummy,https://boardgamearena.com/gamepanel?game=liverpoolrummy,2,16,38,2
uptown,https://boardgamearena.com/gamepanel?game=uptown,3,5,18,1
harbour,https://boardgamearena.com/gamepanel?game=harbour,1,4,33,2
sheepboombah,https://boardgamearena.com/gamepanel?game=sheepboombah,2,4,18,2
lineae,https://boardgamearena.com/gamepanel?game=lineae,1,5,18,3
president,https://boardgamearena.com/gamepanel?game=president,4,8,25,1
roomtwentyfive,https://boardgamearena.com/gamepanel?game=roomtwentyfive,1,6,22,2
eminentdomain,https://boardgamearena.com/gamepanel?game=eminentdomain,2,5,35,3
seasons,https://boardgamearena.com/gamepanel?game=seasons,2,4,19,3
puertorico,https://boardgamearena.com/gamepanel?game=puertorico,2,5,28,4
beyondthesun,https://boardgamearena.com/gamepanel?game=beyondthesun,2,4,53,3
throughtheagesnewstory,https://boardgamearena.com/gamepanel?game=throughtheagesnewstory,2,4,40,5
tzolkin,https://boardgamearena.com/gamepanel?game=tzolkin,2,4,38,4
russianrailroads,https://boardgamearena.com/gamepanel?game=russianrailroads,2,4,49,4
yokohama,https://boardgamearena.com/gamepanel?game=yokohama,2,4,61,3
carnegie,https://boardgamearena.com/gamepanel?game=carnegie,1,4,67,4
caylus,https://boardgamearena.com/gamepanel?game=caylus,2,5,54,4
keyflower,https://boardgamearena.com/gamepanel?game=keyflower,2,6,62,4
cityofthebigshoulders,https://boardgamearena.com/gamepanel?game=cityofthebigshoulders,2,4,92,5
dungeonpetz,https://boardgamearena.com/gamepanel?game=dungeonpetz,2,4,74,5
troyes,https://boardgamearena.com/gamepanel?game=troyes,2,4,38,4
libertalia,https://boardgamearena.com/gamepanel?game=libertalia,2,6,20,3
signorie,https://boardgamearena.com/gamepanel?game=signorie,2,4,63,4
intheyearofthedragon,https://boardgamearena.com/gamepanel?game=intheyearofthedragon,2,5,24,3
throughtheages,https://boardgamearena.com/gamepanel?game=throughtheages,2,4,54,5
nippon,https://boardgamearena.com/gamepanel?game=nippon,2,4,71,4
northwestpassage,https://boardgamearena.com/gamepanel?game=northwestpassage,2,4,56,3
spyrium,https://boardgamearena.com/gamepanel?game=spyrium,2,5,39,3
gosu,https://boardgamearena.com/gamepanel?game=gosu,2,4,20,2
amyitis,https://boardgamearena.com/gamepanel?game=amyitis,2,4,45,3
tournay,https://boardgamearena.com/gamepanel?game=tournay,2,4,32,3
unconditionalsurrender,https://boardgamearena.com/gamepanel?game=unconditionalsurrender,1,3,17,5
polis,https://boardgamearena.com/gamepanel?game=polis,2,2,73,5
madeira,https://boardgamearena.com/gamepanel?game=madeira,2,4,73,4
darkagent,https://boardgamearena.com/gamepanel?game=darkagent,1,6,10,5
ruhr,https://boardgamearena.com/gamepanel?game=ruhr,2,4,163,4
gearnpiston,https://boardgamearena.com/gamepanel?game=gearnpiston,2,6,35,2
stoneage,https://boardgamearena.com/gamepanel?game=stoneage,2,5,25,3
resarcana,https://boardgamearena.com/gamepanel?game=resarcana,2,5,27,3
cubirds,https://boardgamearena.com/gamepanel?game=cubirds,2,5,7,1
innovation,https://boardgamearena.com/gamepanel?game=innovation,2,4,14,4
rollforthegalaxy,https://boardgamearena.com/gamepanel?game=rollforthegalaxy,2,5,16,2
nidavellir,https://boardgamearena.com/gamepanel?game=nidavellir,2,5,24,2
carcassonnehuntersandgatherers,https://boardgamearena.com/gamepanel?game=carcassonnehuntersandgatherers,2,5,28,1
clansofcaledonia,https://boardgamearena.com/gamepanel?game=clansofcaledonia,1,4,38,4
marcopolotwo,https://boardgamearena.com/gamepanel?game=marcopolotwo,2,4,58,3
tokaido,https://boardgamearena.com/gamepanel?game=tokaido,2,5,19,2
teotihuacan,https://boardgamearena.com/gamepanel?game=teotihuacan,2,4,45,3
marcopolo,https://boardgamearena.com/gamepanel?game=marcopolo,2,4,31,3
abyss,https://boardgamearena.com/gamepanel?game=abyss,2,4,23,3
targi,https://boardgamearena.com/gamepanel?game=targi,2,2,26,3
oriflamme,https://boardgamearena.com/gamepanel?game=oriflamme,3,5,10,2
quantum,https://boardgamearena.com/gamepanel?game=quantum,2,4,48,2
lagranja,https://boardgamearena.com/gamepanel?game=lagranja,1,4,30,3
superfantasybrawl,https://boardgamearena.com/gamepanel?game=superfantasybrawl,2,2,28,3
dungeontwister,https://boardgamearena.com/gamepanel?game=dungeontwister,2,2,51,3
